n_amostra,X1,X2,X3,X4,X5,Xbarra,R
1,"1,32350","1,41280","1,67440","1,45730","1,69140","1,51188","0,36790"
2,"1,43140","1,35920","1,60750","1,46660","1,61090","1,49512","0,25170"
3,"1,42840","1,48710","1,49320","1,43240","1,56740","1,48170","0,13900"
4,"1,50280","1,63520","1,38410","1,28310","1,55070","1,47118","0,35210"
5,"1,56040","1,27350","1,52650","1,43630","1,64410","1,48816","0,37060"
6,"1,59550","1,54510","1,35740","1,32810","1,41980","1,44918","0,26740"
7,"1,62740","1,50640","1,83660","1,41770","1,51440","1,58050","0,41890"
8,"1,41900","1,43030","1,66370","1,60670","1,55190","1,53432","0,24470"
9,"1,38840","1,72770","1,53550","1,51760","1,36880","1,50760","0,35890"
10,"1,40390","1,66970","1,50890","1,46270","1,52200","1,51344","0,26580"
11,"1,41580","1,76670","1,42780","1,59280","1,41810","1,52424","0,35090"
12,"1,58210","1,33550","1,57770","1,39080","1,75590","1,52840","0,42040"
13,"1,28560","1,41060","1,44470","1,63980","1,19280","1,39470","0,44700"
14,"1,49510","1,40360","1,58930","1,64580","1,49690","1,52614","0,24220"
15,"1,35890","1,28630","1,59960","1,24970","1,54710","1,40832","0,34990"
16,"1,57470","1,53010","1,51710","1,18390","1,86620","1,53440","0,68230"
17,"1,36800","1,72690","1,39570","1,50140","1,44490","1,48738","0,35890"
18,"1,41630","1,38640","1,30570","1,62100","1,55730","1,45734","0,31530"
19,"1,57960","1,41850","1,65410","1,51160","1,72470","1,57770","0,30620"
20,"1,71060","1,44120","1,23610","1,38200","1,76010","1,50600","0,52400"
21,"1,43710","1,50510","1,34850","1,56700","1,48800","1,46914","0,21850"
22,"1,47380","1,59360","1,65830","1,49730","1,47200","1,53900","0,18630"
23,"1,59170","1,43330","1,55510","1,52950","1,68660","1,55924","0,25330"
24,"1,63990","1,52430","1,57050","1,55630","1,55300","1,56880","0,11560"
25,"1,57970","1,36630","1,62400","1,37320","1,68870","1,52638","0,32240"
26,"1,44830","1,54580","1,45380","1,43030","1,62060","1,49976","0,19030"
27,"1,54350","1,68990","1,58300","1,33580","1,41870","1,51418","0,35410"
28,"1,51750","1,34460","1,47230","1,66570","1,66610","1,53324","0,32150"
29,"1,54540","1,09310","1,40720","1,50390","1,52640","1,41520","0,45230"
30,"1,44180","1,50590","1,51240","1,46200","1,62630","1,50968","0,18450"
31,"1,43010","1,27250","1,59450","1,53970","1,52520","1,47240","0,32200"
32,"1,49810","1,45060","1,61740","1,58370","1,49620","1,52920","0,16680"
33,"1,30090","1,50600","1,62310","1,58310","1,64540","1,53170","0,34450"
34,"1,41320","1,46030","1,58080","1,71110","1,73130","1,57934","0,31810"
35,"1,38170","1,31350","1,49530","1,48940","1,45960","1,42790","0,18180"
36,"1,57650","1,70140","1,40260","1,27730","1,45410","1,48238","0,42410"
37,"1,49360","1,43730","1,51390","1,48080","1,52930","1,49098","0,09200"
38,"1,57290","1,67380","1,50480","1,56510","1,74730","1,61278","0,24250"
39,"1,80890","1,55130","1,82500","1,43890","1,65580","1,65598","0,38610"
40,"1,62360","1,53930","1,67380","1,86980","1,50360","1,64202","0,36620"
41,"1,41200","1,79310","1,73450","1,63910","1,77910","1,67156","0,38110"
42,"1,73720","1,56630","1,49100","1,78090","1,55040","1,62516","0,28990"
43,"1,59710","1,73940","1,68320","1,66770","1,79740","1,69696","0,20030"
44,"1,42950","1,65360","1,91340","1,72720","1,43700","1,63214","0,48390"
45,"1,62170","1,82200","1,79150","1,67440","1,94040","1,77000","0,31870"
