Peça,defeito
1,Peças danificadas
2,Peças enferrujadas
3,Máquina
4,Dimensões incorretas
5,Dimensões incorretas
6,Dimensões incorretas
7,Peças danificadas
8,Peças danificadas
9,Dimensões incorretas
10,Dimensões incorretas
11,Composto delaminado
12,Peças danificadas
13,Peças danificadas
14,Dimensões incorretas
15,Peças danificadas
16,Dimensões incorretas
17,Peças danificadas
18,Peças danificadas
19,Máquina
20,Máquina
21,Peça errada produzida
22,Peças danificadas
23,Película nas peças
24,Peças danificadas
25,Dimensões incorretas
26,Dimensões incorretas
27,Máquina
28,Dimensões incorretas
29,Dimensões incorretas
30,Revestimento insuficiente
31,Peças enferrujadas
32,Anodização com produto em pó
33,Máquina
34,Película nas peças
35,Falha no spray salinizado
36,Peças enferrujadas
37,Dimensões incorretas
38,Película nas peças
39,Máquina
40,Máquina
41,Falha no adesivo
42,Dimensões incorretas
43,Dimensões incorretas
44,Máquina
45,Peças enferrujadas
46,Dimensões incorretas
47,Película nas peças
48,Composto delaminado
49,Procedimento impróprio
50,Peças enferrujadas
51,Falha no spray salinizado
52,Máquina
53,Dimensões incorretas
54,Pintura fora dos limites
55,Porosidade na fundição
56,Peças danificadas
57,Máquina
58,Máquina
59,Revestimento insuficiente
60,Máquina
61,Peças danificadas
62,Peças enferrujadas
63,Revestimento insuficiente
64,Máquina
65,Peças danificadas
66,Peças enferrujadas
67,Dimensões incorretas
68,Revestimento insuficiente
69,Revestimento insuficiente
70,Pintura fora dos limites
71,Máquina
72,Máquina
73,Dimensões incorretas
74,Dimensões incorretas
75,Máquina
76,Peças danificadas
77,Falha no spray salinizado
78,Carenagem sem acabamento
79,Dimensões incorretas
80,Peças danificadas
81,Máquina
82,Peça errada produzida
83,Máquina
84,Fora de ordem
85,Dimensões incorretas
86,Máquina
87,Dimensões incorretas
88,Peças danificadas
89,Porosidade na fundição
90,Dimensões incorretas
91,Peças enferrujadas
92,Máquina
93,Dimensões incorretas
94,Primer danificada
95,Peças danificadas
96,Máquina
97,Película nas peças
98,Revestimento insuficiente
99,Dimensões incorretas
100,Fora de ordem
101,Máquina
102,Dimensões incorretas
103,Máquina
104,Peças danificadas
105,Peças enferrujadas
106,Dimensões incorretas
107,Peças danificadas
108,Peças danificadas
109,Falha no adesivo
110,Revestimento insuficiente
111,Revestimento insuficiente
112,Dimensões incorretas
113,Peças danificadas
114,Peças enferrujadas
115,Revestimento insuficiente
116,Falha no adesivo
117,Falha no spray salinizado
118,Falha no adesivo
119,Dimensões incorretas
120,Revestimento insuficiente
121,Peças enferrujadas
122,Máquina
123,Peças danificadas
124,Pintura danificada
125,Peças danificadas
126,Fora de ordem
127,Peças danificadas
128,Dimensões incorretas
129,Revestimento insuficiente
130,Fora de ordem
131,Solda desalinhada
132,Carenagem sem acabamento
133,Peças danificadas
134,Falha no adesivo
135,Revestimento insuficiente
136,Peças danificadas
137,Peças danificadas
138,Peças enferrujadas
139,Revestimento insuficiente
140,Dimensões incorretas
141,Dimensões incorretas
142,Falha no adesivo
143,Peças danificadas
144,Dimensões incorretas
145,Máquina
146,Máquina
147,Máquina
148,Peças danificadas
149,Peças danificadas
150,Revestimento insuficiente
151,Peças danificadas
152,Peças danificadas
153,Peças danificadas
154,Revestimento insuficiente
155,Máquina
156,Dimensões incorretas
157,Peças danificadas
158,Peças enferrujadas
159,Revestimento insuficiente
160,Carenagem sem acabamento
161,Dimensões incorretas
162,Máquina
163,Revestimento insuficiente
164,Peça errada produzida
165,Dimensões incorretas
